,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Elk,,2694,0.1,3.8,20.5,County Attorney,Joe Lee,2012,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.winfieldcourier.com/news/article_d41fb38c-ed67-557c-ae67-d419b41c1ecf.html,,,,,,,,,,,,,,
Ellis,,29013,1,5.7,26.1,County Attorney,Thomas Drees,,2012,U,D,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,Drees opposed Kansas SOS Kobach's new powers to prosecute alleged voter fraud http://www.vice.com/en_ca/read/kansas-right-wing-elections-official-kris-kobach-is-about-to-start-prosecuting-voters-526,,,,,,,,,,,,
Ellsworth,,6392,5.1,5.9,25.9,County Attorney,Joe Shepack,1992,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,Arrested for DUI in 2014 http://ksn.com/2014/10/06/county-attorney-arrested-for-dui/,,,,,,,,,,,,
Finney,,37184,3.3,48.2,29.5,County Attorney,Susan Hillier Richmeier,2012,2012,U,R,C,F,,,,,,,,,,,A,2016,http://www.finneycounty.org/index.aspx?NID=446,,,,,,,,,,,,,,
Ford,,34795,3,52.9,31.1,County Attorney,Natalie Randall,2012,2012,,R,C,F,,,,,,,,,,,,2016,http://www.dodgeglobe.com/article/20120809/NEWS/308099973,,,,,,,,,,,,,,
Franklin,,25611,1.4,3.9,33.6,County Attorney,Stephen Hunting,2012,2012,,R,C,M,,,,,,,,,,,,2016,http://reinforced3.rssing.com/chan-2546131/all_p13.html,,,,,,,,,,,,,,
Geary,,36713,18.8,15,42.5,County Attorney,Steven Opat,,2012,U,D,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Gove,,2727,0.6,2.7,12.7,County Attorney,Mark Schmeidler,2000,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Graham,,2566,4.4,3.2,19.1,County Attorney,Tony Potter,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Grant,,7816,0.9,46.4,19.8,County Attorney,Jessica Akers,2012,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/KSProsecutor/KSProsecutor-SM13/files/assets/basic-html/page16.html,,,,,,,,,,,,,,
Gray,,6082,0.7,14.2,16.5,County Attorney,Curtis Campbell,,2012,U,D,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Greeley,,1301,0.5,17.6,16.9,County Attorney,Charles Moser,,2012,U,D,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Greenwood,,6328,0.5,4,22.5,County Attorney,Joe Lee,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.winfieldcourier.com/news/article_d41fb38c-ed67-557c-ae67-d419b41c1ecf.html,,,,,,,,,,,,,,
Hamilton,,2603,0.5,33.7,18.6,County Attorney,"Robert Gale, Jr.",,2012,U,D,C,M,,,,,,,,,,,,2016,http://www.thesyracusejournal.com/pdf/paper/syr08082012a01.pdf,,,,,,,,,,,,,,
Harper,,5818,0.5,7.1,23,County Attorney,Janis Knox,2012,2012,54,D,C,F,,,,,,,,,,,,2016,https://www.facebook.com/harpercountyherald/posts/10150996261509227,,ran against incumbent Laurel McClellan ,,,,http://files.kcdaa.org/KSProsecutor/KSProsecutor-SM13/files/assets/basic-html/page16.html,,,,,,,,
Harvey,,34820,1.9,11.5,37.6,County Attorney,David Yoder,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.hvcoksvote.com/november-6--2012-results.html,,,,,,,,,,,,,,
Haskell,,4106,0.9,28.8,15.4,County Attorney,Lynn Koehn,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Hodgeman,,1916,0.9,6.5,16.9,County Attorney,Mark A. Cowell,2012,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Jackson,,13539,0.9,4.7,34.2,County Attorney,Shawna Miller,,2012,U,R,C,F,,,,,,,,,,,,2016,http://ks-jackson.manatron.com/Portals/ks-jackson/2012%20GENERAL%20Final%20Results.pdf,,,,,,,,,,,,,,
Jefferson,,18855,0.8,2.6,37.2,County Attorney,Jason Belveal,2011,2012,U,R,C,M,,,,,,,,,,,,2016,http://www2.ljworld.com/news/2012/jun/01/former-jefferson-county-commissioner-challenge-she/,,,,,,,,,,,,,,
Jewell,,3043,0.3,2.4,15.3,County Attorney,Darrell Miller,,2012,U,D,C,M,,,,,,,,,,,,2016,http://jcr.stparchive.com/Archive/JCR/JCR08022012p01.php,,,,,,,,,,,,,,
Johnson,,574272,5,7.4,40.3,District Attorney,Stephen Howe,2008,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Kearny,,3915,0.8,29.7,19.3,County Attorney,Lori L. Jensen,2012,2012,60.4,D,C,F,,,,,,,,,,,,2016,from excel file downloaded from search,,,,,,,,,,,,,,
Kingman,,7698,0.3,3.1,22.7,County Attorney,Matthew Ricke,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Kiowa,,2513,0.9,6.5,14.2,County Attorney,Scott James,2012,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.wellingtondailynews.com/article/20121129/News/121129128,http://files.kcdaa.org/KSProsecutor/KSProsecutor-SM13/files/assets/basic-html/page17.html,DUI arrest and 48 hours jail time in 2012 after won CA office: http://www.thekansan.com/article/20120916/news/120919277,,,,,,,,,,,,
Labette,,20960,4.6,4.4,38.2,County Attorney,Hillary McKinnery,,2012,U,R,C,F,,,,,,,,,,,N,2016,http://www.labettecounty.com/department/division.php?structureid=37,,,,,,,,,,,,,,
Lane,,1687,0.8,6.4,18.5,County Attorney,Dale Pike,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Leavenworth,,78797,9.6,6.9,39,County Attorney,Todd Thompson,,2012,62,R,C,M,running,,,,,,,,,,,2016,http://www.leavenworthtimes.com/article/20121107/news/121109350,,,,,,,,,,,,,,
Lincoln,,3167,0.5,2.4,19.5,County Attorney,Jennifer O'Hare,,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Linn,,9502,1.8,2.3,26.2,County Attorney,John Sutherland,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.graphic-online.com/news/linn_county/article_eb9e86cf-e40f-5c46-b5f9-f5a88686dddd.html,,,,,,,,,,,,,,
Logan,,2794,1,4.9,14.6,County Attorney,Margaret Mahoney,,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Lyon,,33212,2.8,20.7,43,County Attorney,Marc Goodman,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Marion,,12208,1.2,3.2,25.6,County Attorney,Susan Robson,2000,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Marshall,,10006,0.3,2.3,30.8,County Attorney,Laura Johnson-McNish,,2012,U,R,C,F,,,,,,,,,,,,2016,https://www.hillsborofreepress.com/news/front-page/barker-emler-post-clear-primary-wins,,,,,,,,,,,,,,
McPherson,,29241,1.2,3.8,28,County Attorney,Torrance Parkins,appt 2015,,,R,C,M,,,,,,,,,,,,2016,http://www.mcphersonsentinel.com/article/20150701/NEWS/150709958,,,,,,,,,,,,,,
Meade,,4357,0.8,16.9,15.1,County Attorney,Laura Lewis,,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Miami,,32822,1.3,3.1,31.7,County Attorney,Elizabeth Sweeney-Reeder,2012,2012,U,R,C,F,,,,,,,,,,,,2016,http://www.republic-online.com/graphic-online/news/miami_county/article_14e4ed90-7054-5c9e-8b86-68c67e70e156.html,,http://www.republic-online.com/news/article_489c55ad-e081-527f-8bc3-ff60964aa773.html,,,,,,,,,,,,
Mitchell,,6284,0.3,2,19.7,County Attorney,Mark Noah,,2012,U,NP,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Montgomery,,34065,5.8,6.3,28.2,County Attorney,Larry Markle,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Morris,,5698,0.6,4.4,28,County Attorney,Laura Allen,,2012,U,R,C,F,,,,,,,,,,,,2016,http://www.wibw.com/home/headlines/Morris-Co-Officials-Face-DUI-Charges-173390211.html,,DUI arrest in Oct 2012 http://www.wibw.com/home/headlines/Morris-Co-Officials-Face-DUI-Charges-173390211.html,,,,,,,,,,,,
Morton,,3110,0.9,21.1,14.8,County Attorney,Eric Witcher,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Nemaha,,10148,0.7,1.7,19.9,County Attorney,Brad Lippert,,2012,U,R,C,M,,,,,,,,,,,,2016,https://www.mscnews.net/news/?nk=15159,,,,,,,,,,,,,,
Neosho,,16416,1.3,5.2,31.6,County Attorney,Linus Thuston,,2012,U,R,AA,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Ness,,3105,0.7,9.8,15.1,County Attorney,Craig Crosswhite,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Norton,,5560,3.1,5.3,17.1,County Attorney,R. Douglas Sebelius,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.nwkansas.com/nctwebpages/pdf%20pages%20-%20all/nt%20pages-pdfs%202012/nt%20pages:06%20Jun/Week%204/%20%20Tuesday/01%206-19-12%20Front.pdf,,,,,,,,,,,,,,
Osage,,15936,0.5,2.7,32.8,County Attorney,Brandon Jones,2007,2012,75.5,R,C,M,,,,,,,,,,,,2016,http://www.och-c.com/topstories/2012/1108/110812election.html,,,,,,,,,,,,,,
Osborne,,3756,0.3,1.8,17.6,County Attorney,Paul Gregory,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Ottawa,,6065,0.9,3.1,19,County Attorney,Jason C. Parks,2012,2012,,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Pawnee,,6916,5.1,7.8,27.5,County Attorney,John Settle,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Phillips,,5533,0.5,3,14.9,County Attorney,Melissa Schoen,2012,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Pottawatomie,,22897,1.4,5.2,24.6,County Attorney,Sherri Schuck,,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Pratt,,9850,1.4,6.8,25.8,County Attorney,Ken Van Blaricum,2006,2012,74.9,R,C,M,,,,,,,,,,,,2016,http://www.pratttribune.com/article/20121108/NEWS/121109180,,,,,,,,,,,,,,
Rawlins,,2584,0.5,4.8,13.2,County Attorney,Jared Holste,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Reno,,63794,3.4,9,33.1,District Attorney,Keith Schroeder,,2012,64.8,R,C,M,,,,,,,,,,,N,2016,http://kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Republic,,4803,0.7,1.5,17.8,County Attorney,Marlea James,,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Rice,,10015,1.8,11.1,24.7,County Attorney,Scott McPherson,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Riley,,75194,6.9,8.1,24.7,County Attorney,Barry Wilkerson,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Rooks,,5155,0.6,2.5,14.7,County Attorney,Edward Hageman,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Rush,,3197,0.4,3.3,23.4,County Attorney,Tony Rues,,2012,U,D,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Russell,,6956,1.1,0.5,18.5,County Attorney,Daniel Krug,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Saline,,55755,3.6,10.9,32.8,County Attorney,Ellen Mitchell,,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Scott,,5080,0.6,17.5,13.5,County Attorney,Rebecca Faurot,2012,2012,91.19,R,C,F,,,,,,,,,,,,2016,http://www.scottcountyrecord.com/news/scott-county-unofficial-primary-election-results,,,,,,,,,,,,,,
Sedgwick,,508803,9.5,13.9,39.4,District Attorney,Marc Bennett,2012,2012,U,R,C,M,running,,,,,,,,,,N,2016,http://kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Seward,,23465,4.2,59.1,28.8,County Attorney,Russell Hasenbank,appt,appt,,R,C,M,,,,,,,,,,,,2016,Scott was prior CA elected in 2012 http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Shawnee,,178406,8.8,11.6,48.3,District Attorney,Chad Taylor,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Sheridan,,2539,0.2,3.8,12.5,County Attorney,Steve Hirsch,,2014,U,R,C,M,,,,,,,,,,,,2016,http://www.kansascounties.org/documentcenter/view/1578,,,,,,,,,,,,,,
Sherman,,6110,1,12.2,22,County Attorney,Heather Sikyta,,appt,,R,C,F,,,,,,,,,,,,2016,Abby was prior CA elected in 2012 http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Smith,,3769,0.5,1.7,17.7,County Attorney,Tabitha Owen,2012,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Stafford,,4297,0.7,13.1,22,County Attorney,Joe Shepack,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,Arrested for DUI in 2014 http://ksn.com/2014/10/06/county-attorney-arrested-for-dui/,,,,,,,,,,,,
Stanton,,2111,0.9,36.2,18.8,County Attorney,David C. Black,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Stevens,,5801,0.8,34.9,12.4,County Attorney,Paul Kitzke,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Sumner,,23528,1.3,5.2,29.1,County Attorney,Kerwin L. Spencer,2012,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Thomas,,7891,0.8,5.4,17.2,County Attorney,Kevin Berens,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Trego,,2902,0.7,2,18.4,County Attorney,Tony Potter,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Wabaunsee,,7022,0.8,3.4,28.1,County Attorney,Norbert Marek,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Wallace,,1506,0.9,6.7,8.5,County Attorney,Charles Moser,,2012,U,R,C,M,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,,,,,,,,,,,,
Washington,,5598,0.6,3.4,18.1,County Attorney,Elizabeth Baskerville Hiltgen,,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,http://www.marysvilleonline.net/news/article_f39673ce-bfb9-11e5-9afb-eb8b941d84f2.html,,,,,,,,,,,,
Wichita,,2176,1.1,28.4,15.9,County Attorney,Laura L. Lewis,,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,Laura Lewis also Meade county attorney?? Laura L. Lewis CA for Wichita Co  Another Laura Lewis CA for Meade Co.  They  both ran unopposed,,,,No info on election results per county clerk,,,,,,,
Wilson,,9028,0.5,2.8,22,County Attorney,Jill Chard,,2012,U,R,C,F,,,,,,,,,,,,2016,http://files.kcdaa.org/prosecutor/KSProsecutor-SM13.pdf,,,620-378-2186,,Left my email address.,,,,,,,,,
Woodson,,3157,0.5,2.7,26.3,County Attorney,Zelda Schlotterbeck,2009,2012,U,R,C,F,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,County clerk told me info on election results was pulled.,,,,,,,,,,
Wyandotte,,161636,24.8,27.03,67.4,District Attorney,Jerome Gorman,2005,2012,U,D,C,M,running,,,,Mark Dupree,AA,M,,,,M,2016,http://www.wycokck.org/electionresults.aspx?id=36171,,http://www.pitch.com/FastPitch/archives/2016/01/06/mark-dupree-files-to-run-for-wyandotte-county-district-attorney-a-seat-currently-held-by-jerry-gorman,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,,http://ag.ky.gov/criminal/pac/Pages/attorneys.aspx,,"April 1 candidate deadline, May 17 primary",,,,,6 year terms http://www.sos.ky.gov/elections/BecomingACandidate/Pages/default.aspx,,,,,,,,,,,,,,,,,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
1st Circuit,"Ballard, Carlisle, Fulton, Hickman",24217,9.45,1.56,32.7,Commonwealth's Attorney,Mike Stacey,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
2nd Circuit,McCracken,65316,10.9,2.4,32.9,Commonwealth's Attorney,Daniel Boaz,,2012,U,D,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/KY/McCracken/43187/113070/en/summary.html,,,,,,,,,,,,,,
3rd Circuit,Christian,74250,21.1,7.6,37.6,Commonwealth's Attorney,Lynn Pryor,2007,2012,U,D,C,F,,,,,,,,,,,,2018,Lynn Pryor ran unopposed http://kdl.kyvl.org/catalog/xt7x3f4kmz6m_10/text?,,,,,,,,,,,,,,
4th Circuit,Hopkins,46376,6.7,1.8,29.3,Commonwealth's Attorney,Kathryn Senter,2014,appt,,D,C,F,,,,,,,,,,,,2018,,,,,,,,,,,,,,,
5th Circuit,"Crittenden, Union, Webster",37625,7.04,2.6,30.5,Commonwealth's Attorney,Zac Greenwell,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
6th Circuit,Daviess,98275,5,2.8,38.5,Commonwealth's Attorney,Bruce Kuegel,,2012,U,D,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/KY/Daviess/43138/109079/en/summary.html,,,,,,,,,,,,,,
7th Circuit,"Logan, Todd",26867,6.7,2.8,32,Commonwealth's Attorney,Gail Guiling,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,Harvard law graduate,,,,,,,,,,,,
8th Circuit,Warren,120460,9.4,5.1,38.3,Commonwealth's Attorney,Chris Cohron,,2012,U,D,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/KY/Daviess/43138/109079/en/summary.html,,,,,,,,,,,,,,
9th Circuit,Hardin,108266,12.8,5.7,38.8,Commonwealth's Attorney,Shane Young,,2012,U,D,C,M,,,,,,,,,,,,2018,http://results.enr.clarityelections.com/KY/Hardin/43155/112914/en/summary.html,,,,,,,,,,,,,,
10th Circuit,"Hart, Larue, Nelson",77589,4.8,2.19,37.6,Commonwealth's Attorney,Terry Geoghegan,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
11th Circuit,"Green, Marion, Taylor, Washington",68266,5.85,2.41,33.7,Commonwealth's Attorney,Shelly Miller,,2012,U,D,C,F,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
12th Circuit,"Henry, Oldham, Trimble",87848,3.84,3.66,32.8,Commonwealth's Attorney,Courtney Baxter,,2012,67.4,R,C,F,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
13th Circuit,"Garrard, Jessamine",67673,3.18,2.75,27.7,Commonwealth's Attorney,Tom Lockridge,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
14th Circuit,"Bourbon, Scott, Woodford",96819,5.7,5.4,37.9,Commonwealth's Attorney,Gordie Shaw,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
15th Circuit,"Carroll, Grant, Owen",46335,1.21,3.53,35.2,Commonwealth's Attorney,James Crawford,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
16th Circuit,Kenton,163929,4.9,2.9,36.8,Commonwealth's Attorney,Rob Sanders,,2012,U,D,C,M,,,,,,,,,,,,2018,http://kentoncountykyclerk.com/elections/wp-content/uploads/2012/11/2012G-KENTON-PRECINCT-BY-PRECINCT-RESULTS.pdf,,,,,,,,,,,,,,
17th Circuit,Campbell,91833,3.1,1.8,37.5,Commonwealth's Attorney,Michelle Snodgrass,2009,2012,U,D,C,F,,,,,,,,,,,,2018,http://archive.cincinnati.com/article/20121008/NEWS0106/310080033/Snodgrass-unopposed-attorney-post,,,,,,,,,,,,,,
18th Circuit,"Harrison, Nicholas, Pendleton, Robertson",42323,1.35,1.73,34.7,Commonwealth's Attorney,E. Douglas Miller,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
19th Circuit,"Bracken, Fleming, Mason",40117,3.55,1.45,37.3,Commonwealth's Attorney,Kelly Clarke,,2012,U,D,C,F,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
20th Circuit,"Greenup, Lewis",50188,0.83,0.96,36.9,Commonwealth's Attorney,Melvin Leonhart,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
21st Circuit,"Bath, Menifee, Montgomery, Rowan",69422,2.34,1.85,40.4,Commonwealth's Attorney,Ronnie Goldy,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
22nd Circuit,Fayette,310797,15,6.9,49.3,Commonwealth's Attorney,Ray Larson,,2012,U,D,C,M,,,,,,,,,,,,2018,https://www.fayettecountyclerk.com/web/elections/electionresults/electionresults20121106.htm,,,,,,,,,,,,,,
23rd Circuit,"Estill, Lee, Owsley",26549,0.99,0.97,23.8,Commonwealth's Attorney,Heather Combs,,2012,U,R,C,F,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
24th Circuit,"Johnson, Lawrence, Martin",51603,2.1,1.31,20.7,Commonwealth's Attorney,Anna Melvin,,2012,U,R,C,F,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
25th Circuit,"Clark, Madison",123098,4.82,2.45,34.3,Commonwealth's Attorney,David Smith,,2012,U,D,C,M,,,,,,,,,,,,2018,http://elect.ky.gov/SiteCollectionDocuments/Election%20Results/2010-2019/2012/2012genresults.pdf,,,,,,,,,,,,,,
26th Circuit,Harlan,28163,2.3,0.8,17.2,Commonwealth's Attorney,Parker Boggs,2013,2012,U,D,C,M,,,,,,,,,,,,2018,https://twitter.com/neilwymt/status/205136501619699715,,,,,,,,,,,,,,
